queried_name,verdict,matched_as,common_name,family,matched_by,reason_if_hidden,what_it_means,species_id
Apatura parisatis,NAME_MISMATCH,Hipparchia parisatis,White-edged Rock Brown,Nymphalidae,"epithet matches several: Hipparchia parisatis, Rohana parisatis",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,c63a80ba-7d2b-486e-80ac-a6c8e0e65ad9
Tajuria maculatus,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
Ops melastigma,NAME_MISMATCH,Tajuria melastigma,Branded Royal,Lycaenidae,"same epithet, different genus: Tajuria melastigma",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,bfa50042-fe3f-4b45-adb9-d4458193e3fa
Chliaria nilgirica,NAME_MISMATCH,Hypolycaena nilgirica,Nilgiri Tit,Lycaenidae,"same epithet, different genus: Hypolycaena nilgirica",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,f60abbaf-dafa-43df-83de-db02926056da
Aphnaeus ictis,NAME_MISMATCH,Cigaritis ictis,Common Shot Silverline,Lycaenidae,"same epithet, different genus: Cigaritis ictis",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,f026d2fc-08b1-4e27-a3d0-e4b80322f549
Actinor radians,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
Melanitis atrax,NAME_MISMATCH,Arhopala atrax,Indian Oakblue,Lycaenidae,"same epithet, different genus: Arhopala atrax",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,b56df715-2b19-4130-ae5d-c0607100f4a7
Prothoe franck,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
Ypthima savara,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
Lethe ramadeva,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
Euploea eyndhovii,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
Heliophorus saphir,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
Heliophorus viridipunctata,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
Lysandra bellargus,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
Chrysozephyrus tytleri,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
Castalius ananda,NAME_MISMATCH,Tarucus ananda,Dark Pierrot,Lycaenidae,"same epithet, different genus: Tarucus ananda",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,437a7149-4fd9-492a-9881-e4a58d1add63
Cyaniris albidisca,NAME_MISMATCH,Celatoxia albidisca,White-disc Hedge Blue,Lycaenidae,"same epithet, different genus: Celatoxia albidisca",,In the database under a different accepted name. Searchable once the old name is added as a synonym.,bde9c2ba-c1b9-43de-8cce-7c938bc43377
Parnara apostata,ABSENT,,,,no match in catalog,,"Not in the catalog — no GBIF-digitised Indian occurrence record at ingestion time, so the discovery pass never saw it. Needs manual addition.",
